datetime,timestamp,open,high,low,close,volume,rsi,max_price,min_price,fib_23.6,fib_38.2,fib_50.0,fib_61.8,fib_78.6
2024-01-10,1704844800000,46110.0,47695.93,44300.36,46653.99,89911.41203,63.94129575703846,47972.0,40750.0,46267.608,45213.195999999996,44361.0,43508.804000000004,42295.508
2024-01-11,1704931200000,46654.0,48969.48,45606.06,46339.16,87470.3296,62.15609476650689,48969.48,40750.0,47029.682720000004,45829.638640000005,44859.740000000005,43889.84136,42508.968720000004
2024-01-12,1705017600000,46339.16,46515.53,41500.0,42782.73,86327.93707,46.39734783168276,48969.48,40750.0,47029.682720000004,45829.638640000005,44859.740000000005,43889.84136,42508.968720000004
2024-01-13,1705104000000,42782.74,43257.0,42436.12,42847.99,36118.47464,46.66456924457665,48969.48,40750.0,47029.682720000004,45829.638640000005,44859.740000000005,43889.84136,42508.968720000004
2024-01-14,1705190400000,42847.99,43079.0,41720.0,41732.35,28228.40894,42.7417444482393,48969.48,40750.0,47029.682720000004,45829.638640000005,44859.740000000005,43889.84136,42508.968720000004
2024-01-15,1705276800000,41732.35,43400.43,41718.05,42511.1,40269.89303,46.145013157659825,48969.48,40750.0,47029.682720000004,45829.638640000005,44859.740000000005,43889.84136,42508.968720000004
2024-01-16,1705363200000,42511.1,43578.01,42050.0,43137.95,45045.74589,48.78386601755943,48969.48,40750.0,47029.682720000004,45829.638640000005,44859.740000000005,43889.84136,42508.968720000004
2024-01-17,1705449600000,43137.94,43198.0,42200.69,42776.1,33266.21388,47.34180481853944,48969.48,40750.0,47029.682720000004,45829.638640000005,44859.740000000005,43889.84136,42508.968720000004
2024-01-18,1705536000000,42776.09,42930.0,40683.28,41327.5,43907.51641,41.99046261295037,48969.48,40683.28,47013.9368,45804.151600000005,44826.380000000005,43848.6084,42456.5268
2024-01-19,1705622400000,41327.51,42196.86,40280.0,41659.03,48342.74559,43.56278826167815,48969.48,40280.0,46918.76272,45650.098640000004,44624.740000000005,43599.38136,42139.54872
2024-01-20,1705708800000,41659.03,41872.56,41456.3,41696.04,15923.99493,43.74609427524436,48969.48,40280.0,46918.76272,45650.098640000004,44624.740000000005,43599.38136,42139.54872
2024-01-21,1705795200000,41696.05,41881.39,41500.98,41580.33,11730.16301,43.272873944505,48969.48,40280.0,46918.76272,45650.098640000004,44624.740000000005,43599.38136,42139.54872
2024-01-22,1705881600000,41580.32,41689.65,39431.58,39568.02,55426.19911,35.98285852850825,48969.48,39431.58,46718.5356,45326.0022,44200.53,43075.0578,41472.6906
2024-01-23,1705968000000,39568.02,40176.74,38555.0,39897.6,57956.63351,37.83018200917551,48969.48,38555.0,46511.66272,44991.14864,43762.240000000005,42533.331360000004,40783.69872
2024-01-24,1706054400000,39897.59,40555.0,39484.19,40084.88,39293.82861,38.90897793645727,48969.48,38555.0,46511.66272,44991.14864,43762.240000000005,42533.331360000004,40783.69872
2024-01-25,1706140800000,40084.89,40300.24,39550.0,39961.09,31022.11853,38.43423686003877,48969.48,38555.0,46511.66272,44991.14864,43762.240000000005,42533.331360000004,40783.69872
2024-01-26,1706227200000,39961.09,42246.82,39822.52,41823.51,47384.96726,48.596226264788065,48969.48,38555.0,46511.66272,44991.14864,43762.240000000005,42533.331360000004,40783.69872
2024-01-27,1706313600000,41823.51,42200.0,41394.34,42120.63,16224.41667,50.01374565497441,48969.48,38555.0,46511.66272,44991.14864,43762.240000000005,42533.331360000004,40783.69872
2024-01-28,1706400000000,42120.63,42842.68,41620.81,42031.06,27294.99838,49.56996538315867,48969.48,38555.0,46511.66272,44991.14864,43762.240000000005,42533.331360000004,40783.69872
2024-01-29,1706486400000,42031.05,43333.0,41804.88,43302.7,31542.74207,55.594233240437795,48969.48,38555.0,46511.66272,44991.14864,43762.240000000005,42533.331360000004,40783.69872
2024-01-30,1706572800000,43302.71,43882.36,42683.99,42941.1,37619.24546,53.632273290211074,48969.48,38555.0,46511.66272,44991.14864,43762.240000000005,42533.331360000004,40783.69872
2024-01-31,1706659200000,42941.1,43745.11,42276.84,42580.0,39871.13688,51.67120493337429,46515.53,38555.0,44636.844919999996,43474.60754,42535.265,41595.92246,40258.55342
2024-02-01,1706745600000,42580.0,43285.13,41884.28,43082.94,35231.04664,54.18399999039121,43882.36,38555.0,42625.10304,41847.30848,41218.68,40590.05152,39695.05504
2024-02-02,1706832000000,43082.95,43488.0,42546.79,43200.0,29672.14418,54.77341598098114,43882.36,38555.0,42625.10304,41847.30848,41218.68,40590.05152,39695.05504
2024-02-03,1706918400000,43199.99,43380.01,42880.0,43011.09,12033.40998,53.575565479745656,43882.36,38555.0,42625.10304,41847.30848,41218.68,40590.05152,39695.05504
2024-02-04,1707004800000,43011.1,43119.04,42222.0,42582.88,17066.89404,50.86038337821556,43882.36,38555.0,42625.10304,41847.30848,41218.68,40590.05152,39695.05504
2024-02-05,1707091200000,42582.88,43569.76,42258.1,42708.7,29467.75905,51.6359733925968,43882.36,38555.0,42625.10304,41847.30848,41218.68,40590.05152,39695.05504
2024-02-06,1707177600000,42708.7,43399.98,42574.0,43098.95,24675.85433,54.05804951750031,43882.36,38555.0,42625.10304,41847.30848,41218.68,40590.05152,39695.05504
2024-02-07,1707264000000,43098.96,44396.5,42788.0,44349.6,34392.59915,60.828440619606084,44396.5,38555.0,43017.906,42165.047,41475.75,40786.453,39805.081
